City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,tahoua,14.8888,5.2692,302.49,10,28,4.23,NE,1681952262
84,khatanga,71.9667,102.5,255.46,98,100,0.17,RU,1681952262
85,vaini,-21.2,-175.2,299.24,89,75,8.75,TO,1681952262
86,pevek,69.7008,170.3133,273.58,77,100,4.52,RU,1681952262
87,tornio,65.8481,24.1466,274.16,100,100,1.53,FI,1681952262
88,mount gambier,-37.8333,140.7667,289.48,70,100,3.47,AU,1681952262
89,chuy,-33.6971,-53.4616,287.56,69,98,5.29,UY,1681952262
90,ilheus,-14.7889,-39.0494,301.05,89,40,2.06,BR,1681952263
91,nago,26.5881,127.9761,298.62,82,100,6.85,JP,1681952263
92,vanimo,-2.6741,141.3028,298.42,94,100,3.25,PG,1681952263
93,rikitea,-23.1203,-134.9692,298.46,72,100,2.61,PF,1681952263
94,pudozh,61.8099,36.5345,271.37,96,100,1.43,RU,1681952263
95,airai,-8.9266,125.4092,292.27,75,39,1.34,TL,1681952263
96,youghal,51.95,-7.8506,282.71,85,93,8.78,IE,1681952263
97,provideniya,64.3833,-173.3,270.21,80,40,3.13,RU,1681952263
98,broome,42.2506,-75.833,281.36,53,0,3.6,US,1681952263
99,port-cartier,50.0334,-66.8654,274.68,98,100,1.35,CA,1681952263
100,council bluffs,41.2619,-95.8608,295.76,73,75,9.77,US,1681952263
101,cockburn town,21.4612,-71.1419,299.27,78,0,6.72,TC,1681952263
102,port hawkesbury,45.6169,-61.3485,279.59,91,0,4.12,CA,1681952263
103,inhambane,-23.865,35.3833,292.67,84,0,2.47,MZ,1681952263
104,college,64.8569,-147.8028,277.12,41,20,0.0,US,1681952263
105,srednekolymsk,67.45,153.6833,267.84,94,100,6.21,RU,1681952264
106,abeche,13.8292,20.8324,301.8,13,0,2.57,TD,1681952264
107,busselton,-33.65,115.3333,290.69,49,0,3.87,AU,1681952264
108,cidreira,-30.1811,-50.2056,288.44,65,61,7.4,BR,1681952264
109,tasiilaq,65.6145,-37.6368,274.98,98,100,1.64,GL,1681952264
110,la ronge,55.1001,-105.2842,276.29,32,75,7.2,CA,1681952264
111,touros,-5.1989,-35.4608,299.48,83,69,4.33,BR,1681952264
112,sinnamary,5.3833,-52.95,297.81,91,77,4.3,GF,1681952264
113,taoudenni,22.6783,-3.9836,301.86,18,100,4.88,ML,1681952264
114,matayumtayum,15.5166,120.7098,303.9,63,29,2.57,PH,1681952265
115,bandarbeyla,9.4942,50.8122,300.1,73,25,2.51,SO,1681952265
116,jamestown,42.097,-79.2353,279.95,61,0,4.12,US,1681952265
117,waipawa,-41.4122,175.5153,291.49,83,95,3.61,NZ,1681952265
118,misratah,32.3754,15.0925,291.78,64,96,8.74,LY,1681952265
119,lorengau,-2.0226,147.2712,301.64,75,93,2.92,PG,1681952265
120,havre-saint-pierre,50.2334,-63.5986,275.35,100,75,3.09,CA,1681952265
121,manaure,11.7751,-72.4445,299.46,73,5,9.3,CO,1681952265
122,kodinsk,58.6881,99.1844,267.03,85,100,3.8,RU,1681952265
123,toora-khem,52.4675,96.11,265.78,68,99,0.92,RU,1681952265
124,lerwick,60.1545,-1.1494,280.15,83,15,3.34,GB,1681952265
125,caravelas,-17.7125,-39.2481,300.16,81,98,3.26,BR,1681952265
126,marsh harbour,26.5412,-77.0636,296.63,75,100,9.07,BS,1681952266
127,pangnirtung,66.1451,-65.7125,261.93,77,100,2.66,CA,1681952266
128,zaysan,47.4667,84.8667,271.29,74,95,1.94,KZ,1681952266
129,sechura,-5.5569,-80.8222,301.19,64,98,6.27,PE,1681952266
